Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,,,,,,,,,,,,,,
W9NRRWUS,conferencePaper,2006,"Ducheneaut, Nicolas; Yee, Nicholas; Nickell, Eric; Moore, Robert J.","""Alone Together?"": Exploring the Social Dynamics of Massively Multiplayer Online Games",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,1-59593-372-7,,10.1145/1124772.1124834,http://doi.acm.org/10.1145/1124772.1124834,"Massively Multiplayer Online Games (MMOGs) routinely attract millions of players but little empirical data is available to assess their players' social experiences. In this paper, we use longitudinal data collected directly from the game to examine play and grouping patterns in one of the largest MMOGs: World of Warcraft. Our observations show that the prevalence and extent of social activities in MMOGs might have been previously over-estimated, and that gaming communities face important challenges affecting their cohesion and eventual longevity. We discuss the implications of our findings for the design of future games and other online social spaces.",2006,9/22/2015 3:44,407�416,,,,,,"""Alone Together?",CHI '06,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,,,,,,,,,,
5G78Q4XT,journalArticle,2010,"Carmel, Erran; Espinosa, J Alberto; Dubinsky, Yael","""Follow the Sun"" Workflow in Global Software Development",Journal of Management Information Systems,,,,,,2010,,17-37,,1,27,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z22ZXTXB,journalArticle,1976,"Rang, H.; Hurtienne, H.",[Persistent truncus arteriosus in a 2-year old horse],Tier�rztliche Praxis,,0303-6286,,,,1976,,55-58,,1,4,,Tierarztl Prax,,,,,,,,ger,,,,,PubMed,,PMID: 960085,,,,,,,,,,,,,,
8C8Q4BQM,journalArticle,1997,"Briggs, Robert O; Nunamaker Jr, Jay F; Sprague Jr, Ralph H",1001 Unanswered Research Questions in GSS,Journal of Management Information Systems,,,,,,1997,,21-Mar,,3,14,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8EW2CJ6,blogPost,2015,"Anderson, Monica; Perrin, Andrew",15% of Americans don�t use the internet. Who are they?,Pew Research Center,,,,http://www.pewresearch.org/fact-tank/2015/07/28/15-of-americans-dont-use-the-internet-who-are-they/,"The latest Pew Research analysis also shows that internet non-adoption is correlated to a number of demographic variables, including age, educational attainment, household income, race and ethnicity, and community type.",7/28/2015,2/27/2016 5:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884PBQX6,blogPost,2012,"Lardinois, Frederic",180 Out Of 202 Kansas City �Fiberhoods� Reach Their Google Fiber Pre-Registration Goals,TechCrunch,,,,http://social.techcrunch.com/2012/09/09/google-fiber-kansas-city-goals-reached/,"Two weeks ago, things didn't look so great for Google Fiber, but after a last-minute push, 180 out of the 202 'fiberhoods' in Kansas City, Kansas and Kansas..",2012-09,2/24/2016 18:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKK9N9WC,blogPost,2015,"Anderson, Monica",6 facts about Americans and their smartphones,Pew Research Center,,,,http://www.pewresearch.org/fact-tank/2015/04/01/6-facts-about-americans-and-their-smartphones/,"Nearly two-thirds of U.S. adults own a smartphone, up from 35% in 2011. Our new report analyzes smartphone ownership and owners' attitudes and behaviors.",4/1/2015,2/27/2016 6:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4MBA6XBP,webpage,2014,"McKendrick, Joe",6 reasons why shadow IT is emerging from the shadows,ZDNet,,,,http://www.zdnet.com/article/6-reasons-why-shadow-it-is-emerging-from-the-shadows/,Guess who the biggest users of shadow IT are?  IT employees themselves!,1/6/2014,1/21/2016 0:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QI6V986M,journalArticle,2011,"Dong, Su; Johar, Monica S; Kumar, Ram L",A Benchmarking Model for Management of Knowledge-Intensive Service Delivery Networks,Journal of Management Information Systems,,,,,,2011,,127-160,,3,28,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACV4BXRT,journalArticle,1992,"Post, Brad Quinn",A Business Case Framework for Group Support Technology,Journal of Management Information Systems,,,,,,1992,,26-Jul,,3,9,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
